appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,Sexual-content,corrected_owners,total_ratings,multiplayer
585080,Hunting Simulator,2017-06-09,1,Neopica,Bigben Interactive,windows,0,Single-player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Simulation;Sports,Simulation;Adventure;Sports,30,72,89,0,0,0-20000,29.99,0,10000.0,44.72049689440994,0
585450,Shadows: Awakening,2018-08-31,1,Games Farm,Kalypso Media Digital,windows,16,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;RPG,RPG;Action;Hack and Slash,45,534,164,67,67,20000-50000,34.99,0,35000.0,76.50429799426934,0
586140,BlazBlue Centralfiction,2017-04-25,1,Arc System Works,"H2 Interactive Co., Ltd.",windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Anime;Fighting;2D Fighter,48,2136,232,2910,3368,100000-200000,29.99,0,150000.0,90.2027027027027,1
586200,Street Fighter 30th Anniversary Collection,2018-05-29,1,Digital Eclipse,"Capcom U.S.A, Inc.",windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Partial Controller Support,Action,Action;Fighting;2D Fighter,17,442,304,0,0,20000-50000,32.99,0,35000.0,59.24932975871313,1
587260,Tokyo Xanadu eX+,2017-12-08,1,Nihon Falcom,Aksys Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,RPG,RPG;JRPG;Anime,55,371,40,2,2,0-20000,46.49,0,10000.0,90.2676399026764,0
588190,Tower!3D Pro,2017-03-08,1,FeelThere,FeelThere ,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Online Co-op;In-App Purchases,Simulation,Simulation;Flight,9,174,134,0,0,0-20000,29.99,0,10000.0,56.493506493506494,1
589360,Ni no Kuni™ II: Revenant Kingdom,2018-03-23,1,Level-5,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Adventure;RPG,RPG;Anime;JRPG,63,3220,638,1871,2799,100000-200000,49.99,0,150000.0,83.46293416277865,0
593030,Strategic Command WWII: War in Europe,2017-06-06,1,Fury Software,Slitherine Ltd.,windows,0,Single-player;Multi-player;Shared/Split Screen,Strategy,Strategy;World War II;Turn-Based,0,73,12,0,0,0-20000,29.99,0,10000.0,85.88235294117646,1
594570,Total War: WARHAMMER II,2017-09-28,1,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),windows;mac;linux,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards,Action;Strategy,Strategy;Fantasy;RTS,134,19420,2994,4721,2624,1000000-2000000,39.99,0,1500000.0,86.64227714821095,1
594650,Hunt Showdown,2018-02-22,1,Crytek,Crytek,windows,0,Online Multi-Player;Online Co-op,Action;Early Access,Early Access;Multiplayer;Survival,0,20679,7074,991,1169,1000000-2000000,25.99,0,1500000.0,74.51086369041184,0
595520,FINAL FANTASY XII THE ZODIAC AGE,2018-02-01,1,Square Enix,Square Enix,windows,16,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Violent;RPG,RPG;JRPG;Fantasy,41,1706,277,221,221,100000-200000,34.99,0,150000.0,86.03126575895108,0
595740,SAMURAI WARRIORS: Spirit of Sanada,2017-05-23,1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Action,Action;Hack and Slash;Historical,51,182,56,0,0,0-20000,39.99,0,10000.0,76.47058823529412,0
601050,Attack on Titan 2 - A.O.T.2 - 進撃の巨人２,2018-03-14,1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,18,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Partial Controller Support;Steam Cloud,Action,Action;Anime;Character Customization,40,619,105,0,0,20000-50000,54.99,0,35000.0,85.49723756906077,0
601150,Devil May Cry 5,2019-03-07,1,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",windows,18,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Action;Hack and Slash;Character Action Game,51,17657,1487,916,950,1000000-2000000,44.99,0,1500000.0,92.23255328040118,0
601430,The Evil Within 2,2017-10-12,1,Tango Gameworks,Bethesda Softworks,windows,18,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Adventure,Horror;Survival Horror;Psychological Horror,51,8871,790,1299,1810,100000-200000,39.99,0,150000.0,91.82279267156609,0
606280,Darksiders III,2018-11-27,1,Gunfire Games,THQ Nordic,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;RPG,Action;Hack and Slash;Female Protagonist,59,3302,1368,1716,1851,100000-200000,44.99,0,150000.0,70.70663811563169,0
607880,Accel World VS. Sword Art Online Deluxe Edition,2017-09-12,1,ARTDINK CORPORATION,BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Full controller support;Steam Cloud,Nudity;RPG,Anime;RPG;JRPG,40,543,138,76,76,20000-50000,39.99,0,35000.0,79.73568281938326,1
607890,Sword Art Online: Hollow Realization Deluxe Edition,2017-10-27,1,AQURIA,BANDAI NAMCO Entertainment,windows,0,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Adventure;Casual;RPG,Anime;RPG;Multiplayer,53,2860,707,605,941,100000-200000,39.99,0,150000.0,80.17942248388002,0
610190,WARRIORS ALL-STARS / 無双☆スターズ,2017-08-29,1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action,Action;Hack and Slash;Anime,38,308,82,0,0,0-20000,49.99,0,10000.0,78.97435897435898,0
611180,Super Street: The Game,2018-09-11,1,Rebel Games;Team6 game studios,Lion Castle Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support,Racing,Racing;Driving,27,61,66,0,0,0-20000,30.99,0,10000.0,48.031496062992126,1
611660,Fallout 4 VR,2017-12-11,1,Bethesda Game Studios,Bethesda Softworks,windows,18,Single-player;VR Support;SteamVR Collectibles,Violent;RPG,VR;Open World;Post-apocalyptic,50,2647,1162,161,216,100000-200000,39.99,0,150000.0,69.49330532948281,0
611670,The Elder Scrolls V: Skyrim VR,2018-04-02,1,Bethesda Game Studios,Bethesda Softworks,windows,18,Single-player;Steam Achievements;Full controller support;VR Support;SteamVR Collectibles;Steam Cloud,RPG,RPG;Open World;Singleplayer,75,2352,457,140,176,100000-200000,39.99,0,150000.0,83.7308650765397,0
612880,Wolfenstein II: The New Colossus,2017-10-26,1,Machine Games,Bethesda Softworks,windows,18,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action,Action;FPS;Gore,80,11732,4461,921,870,500000-1000000,39.99,0,750000.0,72.45105909961094,0
618970,Outcast - Second Contact,2017-11-14,1,Appeal,Bigben Interactive,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats,Action;Adventure,Adventure;Action;Open World,41,287,43,0,0,0-20000,29.99,0,10000.0,86.96969696969697,0
620590,Ancestors Legacy,2018-05-22,1,Destructive Creations,1C Entertainment,windows,18,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Strategy,Strategy;RTS;Medieval,50,1962,674,519,700,50000-100000,27.79,0,75000.0,74.4309559939302,1
621830,WRC 7 FIA World Rally Championship,2017-09-15,1,KT Racing,Bigben Interactive,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Racing,Racing;Offroad;Simulation,41,950,498,0,0,50000-100000,34.99,0,75000.0,65.60773480662984,1
622220,Fate/EXTELLA LINK,2019-03-19,1,Marvelous Inc.,"XSEED Games;Marvelous USA, Inc.;Marvelous",windows,0,Single-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Action;Anime;Hack and Slash,44,987,94,0,0,20000-50000,39.99,0,35000.0,91.30434782608695,0
