appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,Sexual-content,corrected_owners,total_ratings,multiplayer
819020,Zanki Zero: Last Beginning,2019-04-09,1,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,RPG,RPG;Anime;Dungeon Crawler,38,104,18,0,0,0-20000,49.99,0,10000.0,85.24590163934425,0
825630,STEINS;GATE 0,2018-05-08,1,MAGES. Inc.,"Spike Chunsoft Co., Ltd.",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure,Visual Novel;Story Rich;Anime,28,1301,53,0,0,20000-50000,27.79,0,35000.0,96.08567208271788,0
829110,LEGO® DC Super-Villains,2018-10-16,1,TT Games,Warner Bros. Interactive Entertainment,windows,0,Single-player;Local Co-op;Steam Achievements;Full controller support,Action;Adventure,Action;Adventure;LEGO,75,295,46,0,0,20000-50000,34.99,0,35000.0,86.51026392961877,0
831560,WARRIORS OROCHI 4 - 無双OROCHI３,2018-10-15,1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Action;Hack and Slash;Anime,44,1820,313,1207,1207,50000-100000,54.99,0,75000.0,85.3258321612752,1
831980,Out of the Park Baseball 20,2019-03-22,1,Out of the Park Developments,Out of the Park Developments,windows;mac;linux,0,Single-player;Steam Achievements;Steam Workshop;In-App Purchases,Indie;Simulation;Sports;Strategy,Simulation;Sports;Strategy,144,144,11,0,0,0-20000,30.99,0,10000.0,92.90322580645162,0
838380,DEAD OR ALIVE 6,2019-02-28,1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support;In-App Purchases;Steam Cloud;Steam Leaderboards,Action,Fighting;Action;Sexual Content,36,1454,836,57,57,20000-50000,54.99,1,35000.0,63.493449781659386,1
841370,NBA 2K19,2018-09-06,1,Visual Concepts,2K,windows,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;In-App Purchases;Steam Cloud,Simulation;Sports,Sports;Basketball;Simulation,50,3093,8080,2901,2803,200000-500000,39.99,0,350000.0,27.682806766311646,1
851890,Gal*Gun 2,2018-07-20,1,"INTI CREATES CO., LTD.",PQube Limited,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Adventure,Sexual Content;Nudity;Anime,37,306,28,539,539,0-20000,29.99,1,10000.0,91.61676646706587,0
857450,ISLAND,2018-08-23,1,Frontwing,Frontwing USA,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Casual,Visual Novel;Anime;Adventure,0,410,8,0,0,0-20000,30.99,0,10000.0,98.08612440191388,0
862390,FlyInside Flight Simulator,2018-12-20,1,FlyInside Inc.,FlyInside Inc.,windows,0,Single-player;Steam Achievements;Partial Controller Support;Stats,Indie;Simulation;Early Access,Early Access;Indie;Simulation,10,48,14,0,0,0-20000,27.79,0,10000.0,77.41935483870968,0
863550,HITMAN™ 2,2018-11-13,1,IO Interactive A/S,Warner Bros Interactive Entertainment,windows,0,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Full controller support;Steam Cloud,Action,Stealth;Action;Assassin,125,10814,1756,636,514,5000000-10000000,44.99,0,7500000.0,86.030230708035,0
868360,Project Hospital,2018-10-30,1,Oxymoron Games,Oxymoron Games,windows;mac;linux,0,Single-player;Steam Achievements;Stats,Indie;Simulation;Strategy,Simulation;Strategy;Management,53,942,225,14,14,50000-100000,24.99,0,75000.0,80.719794344473,0
871200,FIGHTING EX LAYER,2018-11-29,1,ARIKA,ARIKA,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud,Action,Action;Fighting;2D Fighter,41,164,29,0,0,0-20000,30.99,0,10000.0,84.97409326424871,1
872790,Football Manager 2019,2018-11-02,1,Sports Interactive,SEGA,windows;mac,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards,Simulation;Sports,Simulation;Sports;Management,77,2963,1004,3865,4453,200000-500000,37.99,0,350000.0,74.69120241996471,1
880380,Franchise Hockey Manager 5,2018-10-05,1,Out of the Park Developments,Out of the Park Developments,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Workshop,Indie;Simulation;Sports;Strategy,Sports;Indie;Simulation,98,43,42,0,0,0-20000,30.99,0,10000.0,50.588235294117645,1
881320,The LEGO Movie 2 Videogame,2019-02-26,1,TT Games;Feral interactive (Mac),Warner Bros. Interactive Entertainment;Feral interactive (Mac),windows;mac,0,Single-player;Local Co-op;Steam Achievements;Full controller support,Adventure,Sandbox;Story Rich;LEGO,50,82,31,0,0,0-20000,24.99,0,10000.0,72.56637168141593,0
882020,Monster Energy Supercross - The Official Videogame 2,2019-02-08,1,Milestone S.r.l.,Milestone S.r.l.,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Cloud;Includes level editor,Racing;Simulation;Sports,Motorbike;Motocross;Racing,50,100,57,0,0,0-20000,39.99,0,10000.0,63.69426751592356,1
883710,RESIDENT EVIL 2 / BIOHAZARD RE:2,2019-01-24,1,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",windows,18,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Zombies;Survival Horror;Horror,43,24950,1075,841,843,1000000-2000000,44.99,0,1500000.0,95.86935638808838,0
886820,Nelke & the Legendary Alchemists ~Ateliers of the New World~ / ネルケと伝説の錬金術士たち ～新たな大地のアトリエ～,2019-03-25,1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Steam Achievements;Partial Controller Support,RPG,RPG;Anime;JRPG,50,87,16,0,0,0-20000,49.99,0,10000.0,84.46601941747572,0
887060,Asterix & Obelix XXL 2,2018-11-28,1,OSome Studio,Microids,windows;mac,0,Single-player;Steam Achievements;Full controller support,Action;Adventure,Adventure;Action;Beat 'em up,30,82,24,0,0,0-20000,24.99,0,10000.0,77.35849056603774,0
887800,Snooker 19,2019-04-17,1,Lab42,Ripstone,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support;Steam Cloud,Indie;Simulation;Sports,Sports;Simulation;Indie,30,44,35,0,0,0-20000,29.99,0,10000.0,55.69620253164557,1
889510,SENRAN KAGURA Burst Re:Newal,2019-01-22,1,Tamsoft,"XSEED Games;Marvelous USA, Inc.;Marvelous",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Nudity;Sexual Content;Action,51,306,52,84,84,0-20000,34.99,1,10000.0,85.47486033519553,0
889600,The Caligula Effect: Overdose,2019-03-12,1,FURYU Corporation;Engine Software BV,"NIS America, Inc.",windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,RPG,RPG;Anime;JRPG,37,87,13,0,0,0-20000,49.99,0,10000.0,87.0,0
899390,Xenon Racer,2019-03-26,1,3DClouds.it,SOEDESCO Publishing,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Action;Indie;Racing;Sports,Racing;Sports;Action,30,52,9,0,0,0-20000,34.99,0,10000.0,85.24590163934425,1
899440,GOD EATER 3,2019-02-07,1,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,windows,0,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Action;Anime;Character Customization,32,1882,562,1373,1373,50000-100000,39.99,0,75000.0,77.00490998363338,0
905450,NASCAR Heat 3,2018-09-07,1,Monster Games,704 Games Company,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Partial Controller Support,Racing,Racing;Multiplayer,62,93,47,0,0,0-20000,30.99,0,10000.0,66.42857142857143,1
911400,Assassin's Creed® III Remastered,2019-03-29,1,Ubisoft Entertainment,Ubisoft Entertainment				,windows,0,Single-player;Partial Controller Support,Action;Adventure,Action;Adventure;Assassin,0,475,983,80,80,50000-100000,33.99,0,75000.0,32.578875171467764,0
931500,Touhou Genso Wanderer -Reloaded- / 不可思议的幻想乡TOD -RELOADED- / 不思議の幻想郷TOD -RELOADED-,2018-10-25,1,AQUASTYLE,AQUASTYLE,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Adventure;Indie;RPG,RPG;Adventure;Indie,45,703,31,475,475,20000-50000,29.99,0,35000.0,95.77656675749319,0
936160,Atelier Rorona ~The Alchemist of Arland~ DX - ロロナのアトリエ ～アーランドの錬金術士～ DX,2018-12-03,1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,RPG,RPG;JRPG;Anime,54,92,8,0,0,0-20000,34.99,0,10000.0,92.0,0
939960,Far Cry® New Dawn,2019-02-15,1,Ubisoft Montreal;Ubisoft Kiev;Ubisoft Shanghai,Ubisoft,windows,0,Single-player;Online Co-op;Partial Controller Support,Action;Adventure,Open World;Action;FPS,0,2755,1161,1597,1827,100000-200000,37.99,0,150000.0,70.35240040858018,0
953580,Tourist Bus Simulator,2018-12-06,1,TML-Studios;PEDEPE,Aerosoft GmbH,windows,0,Single-player;Steam Achievements,Simulation,Simulation;Driving;Open World,6,283,218,0,0,0-20000,27.0,0,10000.0,56.4870259481038,0
957720,Strategic Command WWII: World at War,2018-12-06,1,Fury Software,Slitherine Ltd.,windows,0,Single-player;Multi-player;Shared/Split Screen,Strategy,Strategy;Turn-Based;World War II,0,54,13,0,0,0-20000,30.99,0,10000.0,80.59701492537313,1
965810,Kara no Shojo,2018-10-22,1,Innocent Grey,MangaGamer,windows,18,Single-player;Steam Cloud,Adventure,Sexual Content;Nudity;Visual Novel,0,61,3,0,0,0-20000,27.79,1,10000.0,95.3125,0
970570,CHAOS;CHILD,2019-01-22,1,MAGES. Inc.,"Spike Chunsoft Co., Ltd.",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure,Visual Novel;Violent;Adventure,34,232,5,0,0,0-20000,27.79,0,10000.0,97.8902953586498,0
977460,Steam Prison,2019-02-14,1,Hunex,MangaGamer,windows,0,Single-player;Steam Cloud,Adventure,Otome;Adventure;Visual Novel,0,52,5,0,0,0-20000,27.79,0,10000.0,91.22807017543859,0
1029630,Power & Revolution 2019 Edition,2019-03-12,1,Eversim,Eversim,windows,0,Single-player;Steam Achievements,Simulation;Strategy,Strategy;Simulation;Politics,71,50,63,0,0,0-20000,39.99,0,10000.0,44.24778761061947,0
1031440,TOKYO CHRONOS,2019-03-19,1,MyDearest Inc.,Sekai Project,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Simulation,Adventure;Simulation;Violent,23,55,2,0,0,0-20000,30.99,0,10000.0,96.49122807017544,0
